,en,ar
162,took,أخذ
163,science,علم
164,eat,تأكل
165,room,مجال
166,friend,صديق
167,began,بدأت
168,idea,فكرة
169,fish,سمكة
170,mountain,جبل
171,stop,قف
172,once,بمجرد
173,base,يتمركز
174,hear,يسمع
175,horse,حصان
176,cut,يقطع
177,sure,بالتأكيد
178,watch,راقب
179,color,اللون
180,face,وجه
181,wood,خشب
182,main,الأساسية
183,open,افتح
184,seem,بدا
185,together,سويا
186,next,التالي
187,white,أبيض
188,children,الأطفال
189,begin,يبدأ
190,got,يملك
191,walk,يمشي
192,example,مثال
193,ease,يسهل
194,paper,ورق
195,group,مجموعة
196,always,دائما
197,music,موسيقى
198,those,أولئك
199,both,على حد سواء
200,mark,علامة
201,often,غالبا
202,letter,رسالة
203,until,حتى
204,mile,ميل
205,river,نهر
206,car,السيارات
207,feet,أقدام
208,care,رعاية
209,second,ثانيا
210,enough,يكفي
211,plain,عادي
212,girl,فتاة
213,usual,معتاد
214,young,صغيرة
215,ready,جاهز
216,above,فوق
217,ever,أبدا
218,red,أحمر
219,list,قائمة
220,though,على أية حال
221,feel,يشعر
222,talk,حديث
223,bird,عصفور
224,soon,هكذا
225,body,هيئة
226,dog,كلب
227,family,أسرة
228,direct,مباشرة
229,pose,يشير إلى
230,leave,غادر
231,song,أغنية
232,measure,قياس
233,door,باب
234,product,المنتج
235,black,أسود
236,short,قصيرة
237,numeral,الأرقام
238,class,صف دراسي
239,wind,ريح
240,question,سؤال
241,happen,يحدث
242,complete,مكتمل
243,ship,سفينة
244,area,منطقة
245,half,نصف
246,rock,صخر
247,order,ترتيب
248,fire,إطلاق النار
249,south,جنوب
250,problem,مشكلة
251,piece,قطعة
252,told,أخبر
253,knew,عرف
254,pass,يمر
255,since,حيث
256,top,أعلى
257,whole,كامل
258,king,ملك
259,street,شارع
260,inch,بوصة
261,multiply,تتضاعف
262,nothing,ولا شيء
263,course,مسار
264,stay,البقاء
265,wheel,عجلة
266,full,ممتلىء
267,force,فرض
268,blue,أزرق
269,object,موضوع
270,decide,قرر
271,surface,السطحية
272,deep,عميق
273,moon,قمر
274,island,جزيرة
275,foot,قدم
276,system,النظام
277,busy,مشغول
278,test,اختبار
279,record,سجل
280,boat,قارب
281,common,مشترك
282,gold,ذهب
283,possible,المستطاع
284,plane,طائرة
285,stead,مقر
286,dry,جاف
287,wonder,يتساءل
288,laugh,يضحك
289,thousand,ألف
290,ago,منذ
291,ran,جرى
292,check,التحقق من
293,game,لعبه
294,shape,شكل
295,equate,مساواة
296,hot,الحار
297,miss,يفتقد
298,brought,جلبت
299,heat,الحرارة
300,snow,ثلج
301,tire,إطار العجلة
302,bring,احضر
303,yes,نعم
304,distant,بعيدة
305,fill,يملأ
306,east,الشرق
307,paint,رسم
308,language,لغة
309,among,من بين
310,unit,وحدة
311,power,قوة
312,town,مدينة
313,fine,بخير
314,certain,المؤكد
315,fly,يطير
316,fall,تقع
317,lead,قيادة
318,cry,بكاء
319,dark,داكن
320,machine,آلة
321,note,ملاحظة
322,wait,انتظر
323,plan,خطة
324,figure,الشكل
325,star,نجمة
326,box,علبة
327,noun,اسم
328,field,حقل
329,rest,استراحة
330,correct,صيح
331,able,قادر
332,pound,جنيه
333,done,انتهى
334,beauty,جمال
335,drive,قائد
336,stood,وقف
337,contain,يحتوي
338,front,أمام
339,teach,يعلم
340,week,أسبوع
341,final,أخير
342,gave,أعطى
343,green,لون أخضر
344,oh,أوه
345,quick,بسرعة
346,develop,طور
347,ocean,محيط
348,warm,دافئ
349,free,مجانا
350,minute,دقيقة
351,strong,قوي
352,special,مميز
353,mind,عقل _ يمانع
354,behind,خلف
355,clear,صافي
356,tail,ذيل
357,produce,ينتج
358,fact,حقيقة
359,space,فضاء
360,heard,سمع
361,best,أفضل
362,hour,ساعة
363,better,أفضل
364,TRUE,حقيقية
365,during,خلال
366,hundred,مائة
367,five,خمسة
368,remember,تذكر
369,step,خطوة
370,early,مبكرا
371,hold,معلق
372,west,غرب
373,ground,أرض
374,interest,فائدة
375,reach,يصل
376,fast,بسرعة
377,verb,الفعل
378,sing,يغني
379,listen,استمع
380,six,ستة
381,table,طاولة
382,travel,السفر
383,less,أقل
384,morning,صباح
385,ten,عشرة
386,simple,بسيط
387,several,العديد من
388,vowel,حرف متحرك
389,toward,باتجاه
390,war,حرب
391,lay,يضع
392,against,ضد
393,pattern,نمط
394,slow,بطيء
395,center,المركز
396,love,حب
397,person,شخص
398,money,مال
399,serve,تخدم
400,appear,يظهر
401,road,طريق
402,map,خريطة
403,rain,مطر
404,rule,القاعدة
405,govern,حكم
406,pull,يحذب
407,cold,البرد
408,notice,تنويه
409,voice,صوت بشري
410,energy,طاقة
411,hunt,مطاردة
412,probable,محتمل
413,bed,سرير
414,brother,شقيق
415,egg,بيضة
416,ride,اركب
417,cell,زنزانة
418,believe,يصدق
419,perhaps,ربما
420,pick,قطف او يقطف
421,sudden,مفاجئ
422,count,عدد
423,square,مربع
424,reason,السبب
425,length,الطول
426,represent,تركيز
427,art,فن
428,subject,موضوعات
429,region,منطقة
430,size,بحجم
431,vary,يتغير
432,settle,تسوية
433,speak,تحدث
434,weight,وزن
435,general,جنرال لواء
436,ice,جليد
437,matter,شيء
438,circle,دائرة
439,pair,زوج
440,include,يشمل
441,divide,يقسم
442,syllable,مقطع لفظي
443,felt,شعور
444,grand,كبير
445,ball,كرة
446,yet,بعد
447,wave,موجة
448,drop,قطرة
449,heart,قلب
450,am,صباحا
451,present,هدية
452,heavy,ثقيل
453,dance,رقص
454,engine,محرك
455,position,موقع
456,arm,ذراع
457,wide,واسع
458,sail,ريشة
459,material,مواد
460,fraction,جزء
461,forest,غابة
462,sit,يجلس
463,race,العنصر
464,window,نافذة او شباك
465,store,متجر
466,summer,الصيف
467,train,يدرب
468,sleep,نايم
469,prove,إثبات
470,lone,وحيد
471,leg,رجل
472,exercise,ممارسه الرياضه
473,wall,حائط
474,catch,يمسك
475,mount,تتعدد
476,wish,يتمنى
477,sky,سماء
478,board,مجلس
479,joy,مرح
480,winter,شتاء
481,sat,جلس
482,written,مكتوب
483,wild,بري
484,instrument,أداة
485,kept,أبقى
486,glass,زجاج
487,grass,عشب
488,cow,بقرة
489,job,مهنة
490,edge,حافة
491,sign,لافتة
492,visit,يزور
493,past,ماضي
494,soft,لين
495,fun,مرح
496,bright,مشرق
497,gas,غاز
498,weather,طقس
499,month,شهر
500,million,مليون
501,bear,يتحمل
502,finish,ينهي
503,happy,سعيدة
504,hope,أمل
505,flower,زهرة
506,clothe,ممل
507,strange,غريب
508,gone,ذهب
509,trade,تجارة
510,melody,لحن
511,trip,رحلة قصيرة
512,office,مكتب
513,receive,تسلم
514,row,صف
515,mouth,فم
516,exact,بالضبط
517,symbol,رمز
518,die,موت
519,least,الأقل
520,trouble,مشكلة
521,shout,يصيح، يصرخ، صيحة
522,except,إلا
523,wrote,كتب
524,seed,بذرة
525,tone,نغمة، رنه
526,join,انضم
527,suggest,يقترح
528,clean,ينظف
529,break,استراحة
530,lady,سيدة
531,yard,حديقة منزل
532,rise,ترتفع
533,bad,سيء
534,blow,نفخ
535,oil,نفط
536,blood,دم
537,touch,لمس. اتصال. صلة
538,grew,نمت
539,cent,سنت
540,mix,مزج
541,team,فريق
542,wire,الأسلاك
543,cost,كلفة
544,lost,ضائع
545,brown,بنى
546,wear,يرتدي
547,garden,حديقة
548,equal,مساو
549,sent,أرسلت
550,choose,يختار
551,fell,يسقط
552,fit,لائق بدنيا
553,flow,تدفق
554,fair,عدل
555,bank,مصرف
556,collect,يجمع
557,save,حفظ
558,control,مراقبة
559,decimal,عدد عشري
560,ear,أذن
561,else,آخر
562,quite,الى حد كبير
563,broke,حطم
564,case,قضية
565,middle,وسط
566,kill,قتل
567,son,ابن
568,lake,بحيرة
569,moment,الوقت الحاضر
570,scale,مقياس
571,loud,بصوت عال
572,spring,الخريف
573,observe,يراقب
574,child,طفل
575,straight,مباشرة
576,consonant,حرف ساكن
577,nation,الأمة
578,dictionary,قاموس
579,milk,حليب
580,speed,سرعة
581,method,طريقة
582,organ,عضو
583,pay,يدفع
584,age,سن
585,section,الجزء
586,dress,فستان
587,cloud,غيم
588,surprise,مفاجئة
589,quiet,هادئ
590,stone,حجر
591,tiny,صغير الحجم
592,climb,تسلق
593,cool,بارد
594,design,التصميم
595,poor,مسكين
596,lot,قطعة أرض
597,experiment,تجربة
598,bottom,قاع
599,key,مفتاح
600,iron,حديد
601,single,غير مرتبطة
602,stick,عصا
603,flat,مسطحة
604,twenty,عشرون
605,skin,جلد
606,smile,ابتسامة
607,crease,تجعد
608,hole,الفجوة
609,jump,القفز
610,baby,طفل
611,eight,ثمانية
612,village,قرية
613,meet,يجتمع
614,root,جذر
615,buy,يشترى
616,raise,رفع
617,solve,يحل
618,metal,فلز
619,whether,سواء
620,push,يدفع
621,seven,سبعة
622,paragraph,فقرة
623,third,الثالث
624,shall,سوف
625,held,مقبض
626,hair,شعر
627,describe,يصف
628,cook,يطبخ
629,floor,أرضية
630,either,إما
631,result,نتيجة
632,burn,يحرق
633,hill,تلة
634,safe,آمنة
635,cat,قط
636,century,مئة عام
637,consider,انصح
638,type,نوع
639,law,قانون
640,bit,قليل
641,coast,ساحل
642,copy,ينسخ
643,phrase,العبارة
644,silent,صامتة
645,tall,طويل
646,sand,رمل
647,soil,تربة
648,roll,لفافة
649,temperature,درجة الحرارة
650,finger,اصبع اليد
651,industry,صناعة
652,value,القيمة
653,fight,يعارك
654,lie,راحه
655,beat,تغلب
656,excite,تثير
657,natural,طبيعي >> صفة
658,view,عرض
659,sense,يشعر
660,capital,رأس المال
661,won’t,متعود
662,chair,كرسي
663,danger,خطر
664,fruit,فاكهة
665,rich,ثري
666,thick,سميك
667,soldier,جندي
668,process,معالجة
669,operate,العمل
670,practice,حاجة
671,separate,منفصل
672,difficult,صعبة
673,doctor,طبيب
674,please,من فضلك
675,protect,يحمي
676,noon,وقت الظهيرة
677,crop,ا & قتصاص
678,modern,عصري
679,element,عنصر
680,hit,نجاح
681,student,طالب
682,corner,ركن
683,party,حفل
684,supply,إمداد
685,whose,ملك من
686,locate,حدد
687,ring,حلقة
688,character,اختلاف الشخصيات
689,insect,الحشرات
690,caught,القبض
691,period,فترة
692,indicate,يشير
693,radio,مذياع
694,spoke,سلك
695,atom,ذرة
696,human,بشري
697,history,التاريخ
698,effect,تأثير
699,electric,كهربائي
700,expect,توقع
701,bone,عظم
702,rail,سكة حديدية
703,imagine,يتصور
704,provide,يمد
705,agree,يوافق على
706,thus,هكذا
707,gentle,لطيف
708,woman,النساء
709,captain,قائد المنتخب
710,guess,خمن
711,necessary,من الضروري
712,sharp,حاد
713,wing,جناح
714,create,يزيد
715,neighbor,الجار
716,wash,غسل
717,bat,مضرب
718,rather,على الاصح
719,crowd,يحشد
720,corn,حبوب ذرة
721,compare,قارن
722,poem,قصيدة
723,string,سلسلة
724,bell,جرس
725,depend,تعتمد
726,meat,لحم
727,rub,فرك
728,tube,الة النفخ
729,famous,مشهور
730,dollar,دولار
731,stream,مجرى
732,fear,يخاف
733,sight,مشهد
734,thin,نحيف
735,triangle,مثلث
736,planet,كوكب
737,hurry,عجل
738,chief,رئيس
739,colony,مستعمرة
740,clock,ساعة
741,mine,الخاص بي
742,tie,ربطة عنق
743,enter,أدخل
744,major,رائد
745,fresh,طازج
746,search,بحث
747,send,يرسل
748,yellow,أصفر
749,gun,بندقية
750,allow,السماح
751,print,مطبعة
752,dead,في ذمة الله تعالى
753,spot,بقعة
754,desert,صحراء
755,suit,تناسب
756,current,تيار
757,lift,مصعد
758,rose,الوردة
759,arrive,يصل
760,master,رئيسي - سيد
761,track,مسار
762,parent,الأبوين
763,shore,دعم
764,division,قطاع
765,sheet,ورقة
766,substance,مستوى
767,favor,محاباة
768,connect,الاتصال
769,post,بريد
770,spend,أنفق
771,chord,وتر
772,fat,سمين
773,glad,مسرور
774,original,أصلي
775,share,شارك
776,station,محطة
777,dad,بابا
778,bread,خبز
779,charge,الشحنة
780,proper,سليم
781,bar,شريط
782,offer,يعرض
783,segment,قطعة
784,slave,شريحة
785,duck,بطة
786,instant,فوري
787,market,سوق
788,degree,الدرجة العلمية
789,populate,يسكن
790,chick,فتاة جميلة
791,dear,عزيزي
792,enemy,العدو
793,reply,الرد
794,drink,يشرب
795,occur,تحدث
796,support,الدعم
797,speech,خطاب
798,nature,طبيعة سجية
799,range,نطاق
800,steam,بخار
801,motion,حركة
802,path,طريق
803,liquid,السائل
804,log,سجل
805,meant,عنى
806,quotient,حاصل القسمة
807,teeth,أسنان
808,shell,صدفة
809,neck,رقبه
810,oxygen,الأكسجين
811,sugar,السكر
812,death,الموت
813,pretty,جميلة
814,skill,مهارة
815,women,النساء
816,season,الموسم
817,solution,المحلول
818,magnet,مغناطيس
819,silver,فضة
820,thank,شكر
821,branch,فرع
822,match,تطابق
823,suffix,لاحقة
824,especially,خصوصا
825,fig,تين
826,afraid,خائف
827,huge,تسربت
828,sister,أخت
829,steel,الصلب
830,discuss,مناقشة
831,forward,إلى الأمام
832,similar,مشابه
833,guide,يرشد
834,experience,خبرة
835,score,نتيجة
836,apple,تفاح
837,bought,اشترى
838,led,قاد
839,pitch,ملعب كورة قدم
840,coat,معطف
841,mass,كتلة
842,card,بطاقة
843,band,حافظة مسافة
844,rope,حبل
845,slip,ينزلق
846,win,يفوز
847,dream,حلم
848,evening,مساء
849,condition,شرط
850,feed,تغذية
851,tool,أداة
852,total,المجموع
853,basic,أساسي
854,smell,يشم
855,valley,الوادي
856,nor,ولا
857,double,مزدوج
858,seat,مقعد
859,continue,استمر
860,block,منع
861,chart,جدول
862,hat,قبعة
863,sell,يبيع
864,success,النجاح
865,company,شركة
866,subtract,طرح او خصم
867,event,حدث
868,particular,خاص
869,deal,صفقة
870,swim,السباحة
871,term,مصطلح
872,opposite,ضد
873,wife,زوجة
874,shoe,حذاء
875,shoulder,كتف
876,spread,الانتشار
877,arrange,رتب
878,camp,معسكر
879,invent,اخترع
880,cotton,القطن
881,born,ولد
882,determine,حدد
883,quart,الكوارت
884,nine,تسع
885,truck,شاحنة
886,noise,الضوضاء
887,level,مستوى
888,chance,صدفة
889,gather,يجتمع
890,shop,متجر
891,stretch,تمتد
892,throw,يرمي
893,shine,يلمع
894,property,خاصية
895,column,عمودي
896,molecule,مركب
897,select,تحديد
898,wrong,خاطئ
899,gray,رمادي
900,repeat,كرر
901,require,يتطلب
902,broad,واسع
903,prepare,إعداد
904,salt,ملح
905,nose,أنف
906,plural,جمع
907,anger,غضب
908,claim,مطالبة
909,continent,قارة
